Título,Revisiones,Año Publicación,Idioma,Rating,ISBN
Le Mariage,3,2001,2,3.06,0099421852
Burning,3,1998,2,2.94,0452279836
Terrorists & Novelists,0,1982,2,2.75,0394521617
Cultural Diversity Fieldbook: Fresh Visions and Breakthrough Strategies for Revitalizing the Workplace,0,1996,2,4.0,1560796022
Americans in Paris: Great Short Stories of the City of Light,0,2003,2,3.0,0972250301
Dashiell Hammett Une VI,0,1992,2,3.73,2070384705
The Life Of Dashiell Hammett,0,1984,1,3.73,070112766X
Divorcio a la Francesa: Le Divorce,0,2003,2,2.88,8420466557
London is the Best City in America,233,2006,1,3.45,0670037567
Dragonball Z: How To Draw Ii,1,2002,2,4.22,0439342430
How to Draw Action Dragonball Z (Dragonball Z),9,2003,2,4.16,0439437245
How to Draw Dragonball,0,2003,2,4.0,0439465184
Dragonball,5,2003,2,4.6,0439465192
Supreme Power: Hyperion,9,2006,1,3.45,0785118950
Hyperion and Selected Poems,7,1990,2,3.99,0826403344
Behind the Couch,0,1997,2,3.91,0786823062
No Room for Francie,0,1995,2,3.5700000000000003,0786810815
Hyperion and Kavanagh,1,2002,2,3.0,1589637453
The Hyperion Series Astrological Degree Symbols: 2nd Edition,0,2004,2,2.0,0741420899
MDX Solutions: With Microsoft SQL Server Analysis Services 2005 and Hyperion Essbase,0,2005,2,3.7800000000000002,0471748080
Die Hyperion-Gesänge,11,2002,6,4.42,3453215281
Endymion,1,1998,3,4.17,2221089561
Worlds Enough & Time: Five Tales of Speculative Fiction,61,2002,1,3.74,0060506040
A Guide for Using from Mixed Up Files of Mrs. Basil E. Frankweiler in the Classroom,0,1994,2,3.5,1557344485
The Amazing Adventures of Kavalier & Clay,9201,2001,1,4.18,0312282990
The Amazing Adventures of Bathman!,13,2005,2,3.69,0525471642
The Amazing Adventures of Hercules,3,2004,2,4.16,0794504531
Ulysses: The Amazing Adventures of,2,2004,2,4.08,0794504523
Great Discoveries & Amazing Adventures: The Stories of Hidden Marvels and Lost Treasures,1,2004,2,4.0,0753457830
Farm Crossing: The Amazing Adventures of Addie and Zachary,0,2005,2,0.0,0963619152
The House of God,31,1998,2,3.94,0552991228
The Great House of God,58,2001,1,4.25,0849942985
Houses of God: Religious Architecture for a New Millennium,0,2006,2,3.6,1920744975
Skeptic in the House of God,1,1997,2,3.83,081352427X
The Constitution For The House Of God,0,2006,2,3.0,1599790165
House of Many Gods,3,2006,2,3.9699999999999998,034548150X
The Sun Rises: and Other Questions About Time and Seasons,6,2006,1,3.94,0753459647
One Sun Rises: An African Wildlife Counting Book,2,1994,2,3.44,0525452257
Presumed Innocent,1,2001,2,4.1,0374701075
American Psycho,75,2010,1,3.8200000000000003,033048477X
James Bond 007: From Russia With Love: Prima Official Game Guide,1,2005,2,3.2,0761551042
Lunar Park,742,2006,1,3.7,0375727272
Burden Of Proof And Related Issues: A Study On Evidence Before International Tribunals,0,1995,2,5.0,904110142X
God and the Burden of Proof,0,1989,2,4.12,0879755512
Burden of Proof: An Introduction to Argumentation and Guide to Parliamentary Debate,0,2005,2,4.5,0759363919
Godless,743,2005,1,3.6,1416908161
Value and Virtue in a Godless Universe,12,2005,2,3.56,0521607841
The Godless Constitution: A Moral Defense of the Secular State,30,2005,2,3.9,0393328376
Godless Morality: Keeping Religion Out of Ethics,21,2000,2,3.89,0862419093
Godless in America: conversations with an atheist,0,2006,2,5.0,059539101X
That Godless Court?: Supreme Court Decisions on Church-State Relationships,1,2005,1,3.59,0664228917
Godless Morality,4,2004,2,3.89,1841955787
Date or Soul Mate?: How to Know if Someone is Worth Pursuing in Two Dates or Less,29,2005,2,3.77,078528303X
Soul Mates: Honouring the Mysteries of Love and Relationship,81,2013,1,3.99,0060925752
Soul Mates: Understanding Relationships Across Time,5,2001,2,3.5,1567187897
Becoming Soul Mates: 52 Meditations to Bring Joy To Your Marriage,3,1997,2,3.6,0310219264
Soul Mates & Twin Flames: The Spiritual Dimension of Love & Relationships (Pocket Guide to Practical Spirituality),5,2017,1,3.79,0922729484
Finding the Love of Your Life,37,1998,2,3.83,1561790885
Love the Life You Live: 3 Secrets to Feeling Good--Deep Down in Your Soul,7,2003,2,3.71,0842383603
The One: Finding Soul Mate Love and Making It Last,1,2006,2,3.5700000000000003,140135243X
Catching the Rhythm of Love: Experience Your Way to a Spectacular Marriage,2,2000,2,3.56,0785273441
Hot Chocolate for the Mystical Lover: 101 True Stories of Soul Mates Brought Together by Divine Intervention,4,2001,1,4.08,0452282179
How to Know If Someone is Worth Pursuing in Two Dates or Less,6,1999,2,3.71,0785269045
The Everything Word Search Book: Over 250 Puzzles to Keep You Entertained for Hours!,0,2005,2,4.07,1593374313
Search Engine Optimization: An Hour a Day,17,2006,2,3.85,0471787531
In Search of Memory: The Emergence of a New Science of Mind,178,2006,1,4.11,0393058638
Search Engine Optimization for Dummies,20,2006,1,3.79,0471979988
Tax Loopholes for Ebay Sellers: How to Make More Money and Pay Less Tax,0,2005,2,3.73,0072262427
Ebay� Strategies: 10 Proven Methods to Maximize Your Ebay Business,2,2004,2,3.48,0321256166
Making a Living from Your Ebay Business,1,2006,2,3.25,0789736462
How to Start and Run an Ebay Consignment Business,2,2006,2,3.65,007226277X
How to Sell Anything on Ebay... and Make a Fortune!,1,2007,2,3.3,0071480137
Ebay Powerseller Million Dollar Ideas,0,2006,2,4.12,0071474803
How to Sell Antiques and Collectibles on Ebay... and Make a Fortune!,1,2004,2,3.56,0071445692
The ebay Price Guide: What Sells for What (in Every Category!),0,2006,2,2.5,1593270550
Make Big Profits on Ebay: The Ultimate Guide for Building a Business on Ebay,1,2005,2,3.5,1932531270
The 7 Essential Steps to Successful Ebay Marketing,0,2005,2,3.4,0072260912
The Ebay Millionaire: Titanium Powerseller Secrets for Building a Big Online Business,1,2005,2,3.22,0471712167
Launching a Successful eBay Store,0,2006,2,2.5,078973575X
The eBay Survival Guide,0,2005,2,1.5,1593270631
Ebay Listings That Sell for Dummies,0,2006,2,3.6,0471789127
The Pragmatic Programmer: From Journeyman to Master,721,1999,1,4.31,020161622X
Behind Closed Doors: Secrets of Great Management,63,2005,1,3.96,0976694026
Interface Oriented Design,4,2006,2,3.59,0976694050
Practices of an Agile Developer: Working in the Real World,53,2006,2,3.88,097451408X
My Job Went to India,14,2005,2,3.95,0976694018
Blink 182,4,2001,1,4.43,0859653234
Blink 182: The Unauthorised Biography in Words and Pictures,0,2002,2,3.0,1842401688
I Blink: And Other Questions About My Body,1,2003,1,3.92,0753456109
Good To Great,28,2001,2,4.1,0712676090
Good to Great and the Social Sectors: A Monograph to Accompany Good to Great,236,2005,2,4.06,0977326403
Good to Great and the Social Sectors,4,2006,2,4.06,0061341029
5 Essential Skills of School Leadership: Moving from Good to Great,0,2005,2,4.0,1578863716
Built to Last: Successful Habits of Visionary Companies,524,2004,1,4.0,0060566108
The Highest Goal: The Secret That Sustains You in Every Moment,2,2005,2,3.7199999999999998,1576753522
Empresas Que Sobresalen: Por Que Unas Si Pueden Mejorar la Rentabilidad y Otras No,1,2002,2,4.1,9580465177
Getting to Yes: Negotiating Agreement Without Giving In,17,1992,2,3.94,0395631246
Getting to Yes: Negotiating an agreement without giving in,12,1997,2,3.94,1844131467
Three Steps to Yes: The Gentle Art of Getting Your Way,6,2002,2,3.63,0609807196
I Like You: Hospitality Under the Influence,1402,2006,1,3.88,0446578843
Children Playing Before a Statue of Hercules,467,2005,1,3.68,0743276124
David Sedaris - 14 CD Boxed Set,69,2002,2,4.6,1586214349
Bringing Down The House,62,2004,1,3.89,0099468239
More than a Game,17,2002,2,3.81,0743444116
The Gospel According to Phil,0,1993,2,3.5,1566250862
Inside Clubbing: Sensual Experiments in the Art of Being Human,3,2004,2,3.42,1859737080
Rhythm of the Chain: Young Writers Explore Teamwork,1,2006,2,3.67,0976846705
Read for Your Life: 11 Ways to Better Yourself Through Books,18,2007,1,3.7199999999999998,0757305458
Values of the Game,23,1998,2,3.88,157965116X
Justice in Jackson,0,1999,2,3.33,189306204X
The Hip-Hop Church: Connecting with the Movement Shaping Our Culture,4,2005,1,3.91,0830833293
The Last Season,39,2006,2,4.06,0060583002
One Last Season,0,1981,2,3.25,0440166985
Balls and Strikes: The Money Game in Professional Baseball,1,1990,2,3.0,0275934411
Money and Employment,0,1982,2,0.0,0333287967
Inflation and the Theory of Money,0,2007,2,0.0,0202309231
Narcissus and Goldmund,20,1971,2,4.21,0553058681
Siddhartha,73,2004,2,4.02,1419147188
Schiffbruch mit Zuschauer. Paradigma einer Daseinsmetapher,0,1997,6,3.91,3518222635
The Gospel According to Dan Brown,0,2006,2,2.75,0781444403
Proof of the Illuminati,3,2003,2,3.95,1931468141
Los Iluminati: La Trama y el Complot,1,2004,2,3.0,8497771281
The Illuminati,9,2004,1,3.71,1595540016
Blood Lines of the Illuminati,2,1998,2,4.5,0966353323
Oracle of the Illuminati: Coincidence. Cocreation. Contact.,3,2006,2,4.17,1931882525
Cosmic Trigger Volume I: Final Secret of the Illuminati,51,2016,2,4.27,1561840033
Illuminati,7,2006,2,4.06,8408064533
Vale: The Illuminati and Their Plans for the Future,0,2005,2,0.0,0974850233
The Illuminati Papers,22,1997,1,3.83,1579510027
New England and the Bavarian Illuminati,0,2005,2,2.9,1931468222
GURPS Illuminati: The World is Stranger Than You Think,1,1996,2,4.04,1556342233
The Secret Society of the Illuminati,0,2005,2,3.0,1425459552
The Art and Mythology of Da Vinci Code,0,2004,2,4.2,0974474738
The Da Vinci Code Illustrated Screenplay: Behind the Scenes of the Major Motion Picture,8,2006,2,3.67,0767926021
Walking the Da Vinci Code in Paris: Decoding the City and the Book,0,2006,2,3.5700000000000003,1598800442
Songbook,343,2003,1,3.56,1573223565
High Fidelity,336,2005,2,3.94,1594481784
My Favorite Year: A Collection of Football Writing,4,2001,1,3.68,0753814412
Fever Pitch,1081,1998,1,3.74,1573226882
About a Boy,113,2002,2,3.8,1573229571
The Complete Polysyllabic Spree,63,2006,1,3.6,0670916668
Infinite Jest: Wit and Humor in Italian Renaissance Art,0,1978,2,4.33,0826202411
Scar Tissue,46,2004,1,4.11,1401301010
Prairies of Fever,3,1992,2,3.29,156656106X
Monsieur Ibrahim et les fleurs du Coran,63,2001,3,3.83,2226126260
Zaat,12,2004,8,3.55,9774248449
Other Place,2,2006,2,3.55,9774249585
Islamic Finance in the Global Economy,0,2000,2,3.67,0748612165
Molvanîa: A Land Untouched by Modern Dentistry,42,2004,2,3.86,1585676195
Phaic Tăn: Sunstroke on a Shoestring,29,2006,2,3.7800000000000002,0811853659
Dreamland,3893,2004,1,3.91,0142401757
The Dreamland Chronicles,2,2002,2,4.2,1892065606
The Zanzibar Chest,173,2004,1,4.01,1594480117
Dispatches,806,1991,1,4.23,0679735259
The Best of Dispatch,0,2003,2,5.0,1575606518
Dispatch,104,2005,1,3.62,0451216776
Dispatches from Blogistan: A Travel Guide for the Modern Blogger,3,2006,2,3.21,0321395557
Dispatches from the Tenth Circle: The Best of the Onion,30,2001,1,4.21,0609808346
Hello! Is That Grandma?,14,2007,1,3.5300000000000002,0439944392
When Night Draws Near,3,1999,2,3.38,0373225407
Maximum City: Bombay Lost and Found,642,2005,1,3.93,0375703403
The Food Doctor In The City: Maximum Health for Urban Living,0,2001,2,3.75,1855857766
Maximum Security: The Culture of Violence in Inner-City Schools,0,1997,2,3.69,0226143872
Catfish and Mandala: A Two-Wheeled Voyage Through the Landscape and Memory of Vietnam,527,2000,1,3.96,0312267177
When Broken Glass Floats: Growing Up Under the Khmer Rouge,322,2001,1,4.14,0393322106
First They Killed My Father: A Daughter of Cambodia Remembers,2653,2006,1,4.35,0060856262
Revolutionary Wealth: How It Will Be Created and How It Will Change Our Lives,7,2007,2,3.87,038552207X
IRA Wealth: Revolutionary IRA Strategies for Real Estate Investment,2,2003,2,3.58,0757000940
Delivering Profitable Value,0,2000,2,4.0,0738201626
Fahrenheit 451,146,2005,1,3.99,078617627X
Fahrenheit 451: And Related Readings,74,1997,2,3.99,0395878063
Los funerales de la Mamá Grande,135,2006,2,3.7800000000000002,0307350320
Conversations with Gabriel García Márquez,1,2005,2,3.96,1578067847
Collected Novellas,52,2008,1,4.0,006093266X
The Grapes of Wrath (SparkNotes Literature Guide),1,2002,2,4.12,1586633600
American Gods,169,2001,1,4.11,0060010606
East of Eden,398,2002,1,4.37,0142004235
Under God,11,1991,2,3.62,0671747460
Eden in the East: The Drowned Continent of Southeast Asia,15,1999,1,3.98,0753806797
East Of Eden,18,1977,1,4.37,0553116088
John F. Kennedy on Leadership: The Lessons and Legacy of a President,0,2005,2,3.9699999999999998,0814408346
Who Was John F. Kennedy?,121,2004,1,4.18,0448437430
The Radical Right & the Murder of John F. Kennedy: Stunning Evidence in the Assassination of the President,0,2004,1,3.22,1412040558
John Fitzgerald Kennedy: A Photography Montage,3,2003,2,4.71,0714843628
New Every Morning: A Daily Devotional,0,2006,2,0.0,1590528352
Why the Ten Commandments Matter,1,2006,2,3.43,0446694398
Evangelism Explosion,5,1996,2,3.52,0842307648
What If the Bible Had Never Been Written?,2,2005,2,3.76,0785270663
Sellevision,9,2006,1,3.56,1843543648
Dry,91,2005,1,4.03,1843541858
Running with Scissors,70,2006,1,3.7199999999999998,1843544857
Meditations From The Road: 365 Daily Lessons From The Road Less Travelled and The Different Drum,2,1993,2,3.7800000000000002,0712659668
The Road Less Traveled and Beyond: Spiritual Growth in an Age of Anxiety,57,1998,2,4.14,0684835614
The Different Drum: Community Making and Peace,47,1998,2,3.89,0684848589
Bankruptsociety Living in Fut,1,1993,2,3.0,1879094185
People of the Lie: The Hope for Healing Human Evil,466,1998,1,3.98,0684848597
The Road Less Traveled,1,2001,2,4.06,0740714651
Gifts for the Journey: Treasures of the Christian Life,1,1999,2,4.0,1580630561
Denial of the Soul,0,1997,2,3.7199999999999998,0517358867
PEOPLE OF THE LIE VOL. 3 POSSESSION AND GROUP EVIL: Possession and Group Evil,1,1992,2,3.98,0671769731
Further Along the Road Less Traveled: Self-love Versus Self-esteem,1,1988,2,4.31,0671663445
The Road Less Travelled And Beyond: Spiritual Growth in an Age of Anxiety,1,1999,2,4.14,0712670769
The Casebook of Sherlock Holmes,0,1986,2,4.19,0425095819
Collected Classics,0,2000,2,4.17,0582343615
A Prayer for Owen Meany,97,2002,1,4.23,0679642595
Sad Underwear and Other Complications: More Poems for Children and Their Parents,13,2000,1,3.91,0689833768
Complications in Regional Anesthesia and Pain Medicine,0,2006,2,4.0,1416023925
Complications in Surgery,0,2005,2,4.2,0781753163
The Uncomplicated Guide to Diabetes Complications,1,2002,2,3.9,1580401333
Complications in Anesthesia,1,2006,2,4.5,1416022155
Spring Cooking,0,2003,2,0.0,0754811697
Le Journal de Bridget Jones,3,2001,2,3.77,2226127062
The Complete Guide To Microwave Cooking,0,2018,2,0.0,1840388080
No Shitting In The Toilet,21,2002,2,3.5700000000000003,0553814516
Sickened: The True Story of a Lost Childhood,47,2004,2,3.73,0099466295
Sickened: The Memoir of a Munchausen by Proxy Childhood,973,2003,2,3.73,0553803077
The Ruby in Her Navel,80,2009,2,3.38,0385509634
A Framework for Understanding Poverty,519,2006,1,3.9,1929229488
Beginning Ruby on Rails E-Commerce: From Novice to Professional,1,2006,2,2.96,1590597362
Goodnight Max,11,2000,2,3.94,0670887072
Ruby for Rails: Ruby Techniques for Rails Developers,10,2006,1,3.77,1932394699
Cause Celeb,302,2002,2,3.01,0142000221
Olivia Joules and the Overactive Imagination,25,2004,2,3.12,0330432745
Bridget Jones: sobrevivire,1,2002,2,3.5700000000000003,1400001218
Up from Jericho Tel,29,1998,2,3.73,0689823320
The Second Mrs. Gioconda,174,2005,2,3.7,1416903429
The View from Saturday,1871,2003,2,3.75,0689862210
Foyers and Entryways: For Your Home,0,1998,2,3.0,1567994490
Christian Living: The Spirituality of the Foyers of Charity,0,2006,2,0.0,0955074614
Robbie Williams,0,2006,2,4.0,3896026860
Robbie Williams: Escapology,0,2002,2,4.11,0711998213
Robbie Williams: In His Own Words,0,1998,2,0.0,0711975434
Robbie Williams: Facing the Ghosts: The Unauthorized Biography,3,2007,2,3.56,0233001794
The Forgotten Commissioner: Sir William Mildmay and the Anglo-French Commission of 1750-1755,0,2003,2,0.0,0870136518
Sam Houston (Robbie Readers),0,2006,2,4.0,1584154829
Century of War,2,2004,2,4.22,0745323103
Journey Between Worlds,18,2006,2,3.62,0399245324
The Far Side of Evil,9,2005,1,3.98,0142402931
Enchantress from the Stars,231,2003,1,3.95,0142500372
Are Chain Stores Ruining America? (At Issue),0,2006,2,0.0,0737730951
Everything Is Illuminated,191,2005,1,3.9,0060792175
Extremely Loud & Incredibly Close,19301,2006,1,3.98,0618711651
Genome: the Autobiography of a Species in 23 Chapters,722,2006,1,4.04,0060894083
The Regulatory Genome: Gene Regulatory Networks in Development and Evolution,0,2006,2,3.88,0120885638
Bioinformatics: Sequence and Genome Analysis,3,2004,1,3.85,0879697121
A Primer of Genome Science,0,2004,2,3.56,0878932321
The Genome War: How Craig Venter Tried to Capture the Code of Life and Save the World,23,2005,1,3.8200000000000003,0345433742
Carter Beats the Devil,885,2002,1,4.09,0786886323
Dooby Dooby Moo,253,2006,1,4.1,0689845073
Peek-A-Moo!,3,1999,2,4.12,1857141792
Moo,494,1999,3,3.46,2743604913
Sailor Moo: Cow at Sea,42,2002,1,4.09,0689842198
Catch-22 (Spark Notes Literature Guide),1,2002,2,3.56,1586633813
Catch-22,73,2007,2,3.98,0060890096
Coping with Depression: From Catch-22 to Hope,2,2006,2,4.44,1585622117
The Amazing Adventures Of Captain Bob Bartlett,1,2002,2,3.0,189429453X
Tyro,0,2001,2,0.0,1577171802
Geisha,143,1998,1,4.0,0520204956
Chronik eines angekündigten Todes,1,2002,6,3.9699999999999998,3462031953
The Complete Short Stories of Ernest Hemingway,654,1998,1,4.29,0684843323
For Whom The Bell Tolls,7,2005,1,3.9699999999999998,0099481561
Hemingway on Hunting,5,2003,2,3.86,0743225295
Hemingway on Fishing,24,2002,2,4.0,074321918X
Islands in the Stream,477,2003,1,3.88,0743253426
Berlin Blues,24,2004,1,3.87,0099449234
The Short Stories,21,2002,1,4.26,0684837862
A Farewell to Arms,8,2000,2,3.81,0848821440
The Funky Squad Annual,2,1995,2,4.0,0670865958
San Sombrero,1,2006,2,3.92,1844003361
Selected Letters 1917-1961,9,2003,2,4.15,0743246896
The Ernest Hemingway Audio Collection,6,2001,1,4.3,0694524980
Until I Find You,34,2006,1,3.63,0552773123
The Imaginary Girlfriend,114,2002,1,3.42,0345458265
The Fourth Hand,978,2003,1,3.31,0345463153
The Water-Method Man,252,1997,1,3.35,034541800X
Setting Free the Bears,218,1997,1,3.3,0345417984
The 158-Pound Marriage,282,1997,1,3.24,0345417968
Trying to Save Piggy Sneed,185,1997,2,3.36,0345404742
F. Scott Fitzgerald: A Biography,0,2005,2,4.0,0313331642
A Life in Letters,13,1995,1,4.23,0684801531
The Best Early Stories of F. Scott Fitzgerald,26,2005,2,4.13,0812974778
On Authorship,1,1996,1,3.75,1570031460
This Side of Paradise,5,2003,2,3.67,0743247299
Some Sort of Epic Grandeur: The Life of F. Scott Fitzgerald,46,2002,2,4.21,1570034559
The St. Paul Stories of F. Scott Fitzgerald,11,2004,1,4.0,0873515129
Tender is the Night,140,2001,1,3.8200000000000003,0141183594
The Great Gatsby (SparkNotes Literature Guide),0,2002,2,3.64,158663349X
One L: The Turbulent True Story of a First Year at Harvard Law School,452,1997,1,3.67,0446673781
The Rabbi,46,1987,1,3.69,0449214540
The Frequencies,8,2003,1,4.32,0974016713
Agent Z And The Penguin From Mars,0,2005,2,3.9699999999999998,0099712911
The Talking Horse and the Sad Girl and the Village Under the Sea: Poems,37,2006,1,3.32,0307275698
Ocean Star Express,0,2002,1,3.62,000664600X
The Sea of Tranquility,0,1996,2,3.58,0152012850
The Beautiful and Damned,1800,2002,2,3.75,0743451503
The Beautiful and the Damned: The Creation of Identity in Nineteenth-Century Photography,1,2001,2,3.38,0853318212
Moscow: The Beautiful and the Damned: Life in Russia in Transition,1,2005,2,3.5700000000000003,0233009981
The Other Side of Paradise,0,2003,2,4.0,0595282164
Trimalchio,4,2002,1,4.41,0521890470
Plays 1: Don Juan on Trial / The Visitor / Enigma Variations / Between Worlds,4,2002,2,3.87,0413760200
Monsieur Ibrahim and the Flowers of the Koran & Oscar and the Lady in Pink,30,2004,2,4.05,1590510917
Variations Enigmatiques,5,1996,2,4.0,2226084614
Enigma Variations,6,2003,2,4.0,0822218100
Ella Fitzgerald: A Biography of the First Lady of Jazz,3,2004,2,3.83,0415971195
Souvenir of Canada 2,9,2004,1,3.84,1553650433
Souvenir of Canada,34,2002,1,3.85,1550549170
The Illustrated Star Wars Universe,4,1995,2,4.31,0553093029
World War 3 Illustrated: Confrontational Comics,2,1995,1,3.85,1568580398
Trench Art: An Illustrated History,0,2004,2,4.25,0975597108
Star Wars: Return of the Jedi - Illustrated Screenplay,0,1998,2,3.88,0345420799
U. S. Halftracks of World War II,1,1985,2,3.75,0853686971
Star Wars: The Empire Strikes Back - Illustrated Screenplay,4,1998,2,4.28,0345420705
War Movie Posters: The Illustrated History of Movies Through Posters,0,2000,2,4.0,1887893407
Illustrated Encyclopedia Of Major Aircraft of World War II,0,1988,2,0.0,0517405059
Star Wars Episode 1: The Phantom Menace Illustrated Screenplay,9,1999,1,3.93,0345431103
Lockheed F-117 Nighthawk: An Illustrated History of the Stealth Fighter,0,1997,2,4.0,0764300679
Pirates: Predators of the Sea: An Illustrated History,4,2007,2,3.67,1602390355
Fort Mifflin of Philadelphia: An Illustrated History,0,1998,2,3.5,081221644X
Post-World War II M-1 Helmets: An Illustrated Study,0,1999,2,0.0,076431033X
Agincourt 1415: Triumph Against the Odds,0,2005,2,3.69,0275988384
An Illustrated Guide to Spy Planes and Electronic Warfare Aircraft,0,1984,2,3.75,0668058250
Crecy 1346: Triumph of the Longbow,0,2005,2,3.63,0275988430
There Goes the Neighborhood: 10 Buildings People Loved to Hate,7,2001,2,3.58,0823414353
There Goes the Neighborhood,0,1991,2,4.47,0836218744
There Goes the Neighborhood: Protecting Your Home & Community from Poor Development Choices,1,1998,2,5.0,0966710800
There Goes the Neighbourhood,0,2002,2,3.0,0889951284
There Goes the Neighborhood: Rural School Consolidation at the Grass Roots in Early Twentieth-Century Iowa,1,1999,2,3.0,0877456933
Poi Spinning,3,2002,2,4.18,1898591199
The Winter of Our Discontent,1538,2008,1,3.99,0143039482
Cannery Row,3970,2002,1,4.04,014200068X
The Grapes of Wrath and Other Writings 1936–1941: The Long Valley / The Grapes of Wrath / The Log from the Sea of Cortez / The Harvest Gypsies,25,1996,1,4.41,1883011159
Tortilla Flat,40,2000,1,3.83,0141185112
The Log from the Sea of Cortez,281,2001,1,3.84,0141186070
The Illustrated Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,20,2003,1,3.96,0802775934
Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,1902,2005,1,3.96,0802714625
Longitude: The True Story of a Lone Genius who Solved the Greatest Scientific Problem of His Time,22,2005,2,3.96,0739323784
Where on Earth? Understanding Latitude and Longitude,2,1989,2,3.0,0825115124
1421: The Year China Discovered America,901,2004,1,3.6,006054094X
The 1421 Heresy: An Investigation Into the Ming Chinese Maritime Survey of the World,0,2005,2,3.8,1420873490
Dr. Desirable,1,2002,1,3.27,0373764219
Social Networks and Historical Sociolinguistics: Studies in Morphosyntactic Variation in the Paston Letters (1421-1503),0,2005,2,0.0,3110183102
If You Sailed On The Mayflower,42,1991,2,3.9699999999999998,0590451618
The Mayflower and Her Passengers,1,2005,2,3.96,1599263998
On The Mayflower,0,1999,2,3.7800000000000002,0439099412
Before the Mayflower: A History of Black America,2,2003,1,4.44,0874850916
The Mayflower Pilgrims,2,2003,2,3.62,188989351X
Before The Mayflower A History of Black America,1,1984,1,4.44,0140072144
Shalimar the Clown,750,2006,1,3.88,0679783482
Fury,356,2002,1,3.29,0099421860
The Jaguar Smile: A Nicaraguan Journey,116,2003,2,3.55,0312422784
Code Complete,328,2004,1,4.29,0735619670
Tail Code USAF: The Complete History of USAF Tactical Aircraft Tail Code Markings,0,1997,2,0.0,0887405134
How to Stop Worrying and Start Living,1665,2004,1,4.13,0671035975
Make Yourself Unforgettable: The Dale Carnegie Class-Act System,14,2006,2,3.86,0743563905
How to Develop Self-Confidence And Influence People,88,1991,2,4.14,0671746073
How To Enjoy Your Life And Your Job,124,1990,1,3.96,0671708260
The Quick And Easy Way To Effective Speaking,8,1990,2,4.09,0749305770
The Dale Carnegie Leadership Mastery Course: How To Challenge Yourself and Others To Greatness,11,2001,2,3.95,0743509374
Última parada: matrimonio,0,1997,2,3.43,0373334036
Nuestra Proxima Parada,0,2004,2,0.0,1932077073
Great Traditions in Ethics,6,2007,2,3.69,0495094986
The Drama of the Gifted Child: The Search for the True Self,637,2008,1,4.09,0465016901
The Millionaire Next Door,1,2003,2,3.0,0373169906
A Fool and His Money: The Odyssey of an Average Investor,9,1998,2,3.8,0471251380
When They Were 22: 100 Famous People at the Turning Point in Their Lives,8,2006,2,3.12,0740758101
Who Moved My Cheese?,8599,2002,1,3.8,0091883768
Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,895,2005,1,3.92,1591396190
Heart of Darkness,8544,2003,1,3.42,1892295490
Heart of Darkness and Other Tales,178,2003,1,3.58,0192801724
The Legends  Lands of Ireland,0,2006,2,4.14,1402738242
Three Men in a Boat,2,2003,2,3.89,1862052212
Three Men in a Boat: To Say Nothing of the Dog,32,2006,1,3.89,0486451100
Three Men in a Boat and Three Men on the Bummel,184,1999,1,4.08,0140437509
Kafka on the Shore,12755,2006,1,4.14,1400079276
The Brothers Karamazov,91,1999,1,4.32,0451527348
The Brothers Karamazov (SparkNotes Literature Guide),0,2002,2,4.57,1586635026
Hungry Planet,193,2005,1,4.44,1580086810
The Very Hungry Caterpillar,262,1994,1,4.3,0399226907
One Hundred Hungry Ants,166,1999,1,4.05,0395971233
The Hungry Tide,835,2006,1,3.95,061871166X
Feeding the Hungry Heart: The Experience of Compulsive Eating,46,1993,1,3.96,0452270839
A Heartbreaking Work of Staggering Genius,8496,2001,1,3.69,0375725784
You Shall Know Our Velocity!,1468,2003,1,3.63,1400033543
How We Are Hungry,660,2005,1,3.75,1400095565
Danny Boy: The Legend of the Beloved Irish Ballad,12,2003,2,3.01,0451208064
A Monk Swimming,246,1999,2,3.34,0786884142
Bush Lies in State,2,2004,2,3.2,0975574604
Love You Until--,0,2005,1,4.5,0809166585
Year of Wonders,8695,2002,1,4.01,0142001430
The Wonder Years: Helping Your Baby and Young Child Successfully Negotiate the Major Developmental Milestones,9,2006,1,3.51,0553804766
The Wide-Eyed Wonder Years: A Mommy Guide to Preschool Daze,1,2006,2,3.6,080073064X
A Year of Wonder,1,2003,2,4.14,0664225977
Focus on the Wonder Years: Challenges Facing the American Middle School,1,2004,2,5.0,0833033905
A Man Without a Country,2075,2007,1,4.07,081297736X
Slaughterhouse-Five,19343,1999,1,4.08,0385333846
Jailbird,608,1999,1,3.8200000000000003,0385333900
Fates Worse Than Death,117,1992,1,3.87,0425134067
Inside the Red Tent,16,2006,1,3.96,0827230281
Inside the Red and White Tent,0,1974,2,2.0,0663254612
La Jeune fille à la perle,41,2002,3,3.88,2070417948
Downfall: The End of the Imperial Japanese Empire,55,2001,2,4.17,0141001461
Code-Name Downfall: The Secret Plan to Invade Japan and Why Truman Dropped the Bomb,5,1995,2,3.45,0684804069
The Downfall Matrix & Soulfire (Patterns of Chaos: Omnibus 2),1,2002,2,4.18,0756400562
El azul de la virgen,5,2004,2,3.66,8466313591
Getting Into the Physician Assistant School of Your Choice,1,2003,2,3.79,0071421858
Saturday,3347,2006,1,3.63,1400076196
